Almacén,Turno,Hora Salida,Hora Retorno Est.,Fin Turno,Conductor,Vehículo,Nº Ruta (en turno),Tiendas en Ruta,Nº Tiendas,Carga Total (kg),Capacidad (kg),% Ocupación,Distancia Real (km),¿Cargó en Ruta?,Punto de Recarga,Coste Energía (€),Coste Mant. (€),Coste Total Ruta (€),Cierre 1ª Tienda,Estado
Atarfe (Central),Turno 1,06:00,09:44,14:15,Conductor FUR-TA-31,Ford E-Transit TA-31,31,Covirán Jayena | Covirán Arenas Rey | Covirán Játar | Covirán Alhama Gran.,4,1090,1200,90.8 %,123.46,NO,No requiere,0.0,22.22,22.22,14:30,Cumplido
Atarfe (Central),Turno 1,06:00,10:10,14:15,Conductor FUR-TA-32,Ford E-Transit TA-32,32,Covirán Montillana | Covirán Montillana | Covirán Campotéjar | Covirán Campotéjar | Covirán Torre-Cardela,5,1155,1200,96.2 %,131.71,NO,No requiere,0.0,23.71,23.71,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:54,14:15,Conductor FUR-TA-33,Ford E-Transit TA-33,33,Covirán Alcalá Bol. | Covirán Alcalá Bolivia | Covirán Alcalá Isab. | Covirán Alcalá Lastre,4,1200,1200,100.0 %,86.15,NO,No requiere,0.0,15.51,15.51,18:00,Cumplido
Atarfe (Central),Turno 1,06:00,10:36,14:15,Conductor FUR-TA-34,Ford E-Transit TA-34,34,Covirán Moreda | Covirán Torre-Cardela | Covirán Alcalá Isabel | Covirán Alcalá Villa,4,820,1200,68.3 %,162.56,NO,No requiere,0.0,29.26,29.26,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,07:21,14:15,Conductor FUR-TA-01,Ford E-Transit TA-01,1,Covirán Desamparados | Covirán Pirralos | Covirán Belmonte | Covirán Las Cruces | Covirán San José,5,1120,1200,93.3 %,5.18,NO,No requiere,0.0,0.93,0.93,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,07:11,14:15,Conductor FUR-TA-02,Ford E-Transit TA-02,2,Covirán La Motilla | Covirán Bobadilla | Covirán Mtz Montañés | Covirán Av. Primera,4,1170,1200,97.5 %,8.71,NO,No requiere,0.0,1.57,1.57,21:00,Cumplido
Dos Hermanas,Turno 1,06:00,07:41,14:15,Conductor FUR-TA-03,Ford E-Transit TA-03,3,Covirán Real Utrera | Covirán Quinto | Covirán Torres Albas | Covirán Urbión,4,1175,1200,97.9 %,31.44,NO,No requiere,0.0,5.66,5.66,18:00,Cumplido
Dos Hermanas,Turno 1,06:00,07:58,14:15,Conductor FUR-TA-04,Ford E-Transit TA-04,4,Covirán Betis Coria | Covirán La Estrella | Covirán Palomares | Covirán Ginés 14,4,1190,1200,99.2 %,43.96,NO,No requiere,0.0,7.91,7.91,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,07:25,14:15,Conductor FUR-TA-05,Ford E-Transit TA-05,5,Covirán Av. Paz | Covirán Navisa | Covirán Maestro Tejera,3,1110,1200,92.5 %,30.11,NO,No requiere,0.0,5.42,5.42,15:00,Cumplido
Dos Hermanas,Turno 1,06:00,08:10,14:15,Conductor FUR-TA-06,Ford E-Transit TA-06,6,Covirán Blas Infante | Covirán María Jesús | Covirán Carretero | Covirán Ramón Cajal | Covirán San Isidro,5,1180,1200,98.3 %,41.78,NO,No requiere,0.0,7.52,7.52,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,08:35,14:15,Conductor FUR-TA-07,Ford E-Transit TA-07,7,Covirán La Tona | Covirán Malagueta S. | Covirán Torregorda | Covirán J.R. Jiménez 5 | Covirán J.R. Jiménez 8 | Covirán Socorro | Covirán San Luis,7,1185,1200,98.8 %,37.9,NO,No requiere,0.0,6.82,6.82,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,09:00,14:15,Conductor FUR-TA-08,Ford E-Transit TA-08,8,Covirán Silos | Covirán Murillo M.A. | Covirán Viso Calv. | Covirán Nebrija 3,4,1165,1200,97.1 %,90.31,NO,No requiere,0.0,16.25,16.25,19:00,Cumplido
Dos Hermanas,Turno 1,06:00,08:28,14:15,Conductor FUR-TA-09,Ford E-Transit TA-09,9,Covirán Romeros | Covirán Aljarafe 30 | Covirán Misericordia | Covirán Camas Turia | Covirán Bollullos,5,1165,1200,97.1 %,55.45,NO,No requiere,0.0,9.98,9.98,15:00,Cumplido
Dos Hermanas,Turno 1,06:00,11:20,14:15,Conductor FUR-TA-10,Ford E-Transit TA-10,10,Covirán Serra Pickman | Covirán Nebrija 4 | Covirán Esquivel | Covirán Villaverde V. | Covirán Villalba S.R.,5,1185,1200,98.8 %,184.42,NO,No requiere,0.0,33.2,33.2,18:00,Cumplido
Dos Hermanas,Turno 1,06:00,08:53,14:15,Conductor FUR-TA-11,Ford E-Transit TA-11,11,Covirán Utrera Sant. | Covirán Arahal Ctra. | Covirán Arahal Morón,3,1180,1200,98.3 %,96.39,NO,No requiere,0.0,17.35,17.35,21:00,Cumplido
Dos Hermanas,Turno 1,06:00,09:28,14:15,Conductor FUR-TA-12,Ford E-Transit TA-12,12,Covirán Ariscal | Covirán Altozano | Covirán Huévar | Covirán Pilas Juan | Covirán Villamanrique,5,1150,1200,95.8 %,100.27,NO,No requiere,0.0,18.05,18.05,14:30,Cumplido
Dos Hermanas,Turno 1,06:00,09:45,14:15,Conductor FUR-TA-13,Ford E-Transit TA-13,13,Covirán Guadajoz | Covirán Carmona Pil. | Covirán Carmona San F. | Covirán Arahal Cald.,4,1180,1200,98.3 %,124.15,NO,No requiere,0.0,22.35,22.35,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,09:06,14:15,Conductor FUR-TA-14,Ford E-Transit TA-14,14,Covirán Pasaje Real | Covirán Guillena B. | Covirán Pajanosas | Covirán Gerena,4,1080,1200,90.0 %,94.91,NO,No requiere,0.0,17.08,17.08,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,09:55,14:15,Conductor FUR-TA-15,Ford E-Transit TA-15,15,Covirán Pilas Lope | Covirán Hinojos | Covirán Hinojos | Covirán Manzanilla | Covirán Manzanilla,5,1130,1200,94.2 %,120.69,NO,No requiere,0.0,21.72,21.72,15:00,Cumplido
Dos Hermanas,Turno 1,06:00,10:15,14:15,Conductor FUR-TA-16,Ford E-Transit TA-16,16,Covirán Cabezas Sev. | Covirán Arahal Madrid | Covirán Paradas,3,1060,1200,88.3 %,158.08,NO,No requiere,0.0,28.45,28.45,18:00,Cumplido
Dos Hermanas,Turno 1,06:00,13:02,14:15,Conductor FUR-TA-17,Ford E-Transit TA-17,17,Covirán Carmona Guad. | Covirán Villaverde T. | Covirán Castilblanco | Covirán Villalba R.,4,1185,1200,98.8 %,219.49,SÍ,P.I. Los Espartales (A-4 (La Rinconada)),25.7,39.51,65.21,14:30,Cumplido
Dos Hermanas,Turno 1,06:00,10:25,14:15,Conductor FUR-TA-18,Ford E-Transit TA-18,18,Covirán Aznalcóllar | Covirán Paterna | Covirán Villalba F. | Covirán Villalba F. | Covirán Villalba T.,5,1120,1200,93.3 %,142.97,NO,No requiere,0.0,25.73,25.73,14:30,Cumplido
Dos Hermanas,Turno 1,06:00,10:00,14:15,Conductor FUR-TA-19,Ford E-Transit TA-19,19,Covirán Villalba R.T. | Covirán Almonte C. | Covirán Almonte R.,3,890,1200,74.2 %,146.53,NO,No requiere,0.0,26.38,26.38,14:00,Cumplido
Dos Hermanas,Turno 1,06:00,09:05,14:15,Conductor FUR-TA-20,Ford E-Transit TA-20,20,Covirán Almonte Roc.,1,550,1200,45.8 %,128.09,NO,No requiere,0.0,23.06,23.06,18:00,Cumplido
Dos Hermanas,Turno 1,06:00,13:16,14:15,Conductor FUR-TA-21,Ford E-Transit TA-21,21,Covirán Écija Toreros | Covirán Écija Fuens. | Covirán F. Palmera S.,3,1120,1200,93.3 %,240.91,SÍ,bp Nuestra Sra Valme (Dos Hermanas),28.56,43.36,71.92,19:00,Cumplido
Dos Hermanas,Turno 1,06:00,13:45,14:15,Conductor FUR-TA-22,Ford E-Transit TA-22,22,Covirán Hornachuelos | Covirán Posadas | Covirán Ochavillo | Covirán F. Palmera M.,4,1190,1200,99.2 %,251.59,SÍ,bp Nuestra Sra Valme (Dos Hermanas),28.56,45.29,73.85,14:00,Cumplido
Jaén,Turno 1,06:00,06:55,14:15,Conductor FUR-TA-01,Ford E-Transit TA-01,1,Covirán Olivares M.R. | Covirán Paseo España | Covirán Astrónomo,3,1120,1200,93.3 %,8.0,NO,No requiere,0.0,1.44,1.44,18:00,Cumplido
Jaén,Turno 1,06:00,08:03,14:15,Conductor FUR-TA-02,Ford E-Transit TA-02,2,Covirán Doctor Sagaz | Covirán Navas Tolosa | Covirán Mtz Molina | Covirán Millán Priego | Covirán Almendros Ag. | Covirán Espiga | Covirán Carrera Jesús,7,1170,1200,97.5 %,13.54,NO,No requiere,0.0,2.44,2.44,14:00,Cumplido
Jaén,Turno 1,06:00,08:28,14:15,Conductor FUR-TA-03,Ford E-Transit TA-03,3,Covirán Av. Andalucía | Covirán Porcuna Jaén | Covirán San Roque | Covirán Jardín Jaén | Covirán Juanito Pract. | Covirán Fuerte Rey,6,1190,1200,99.2 %,44.23,NO,No requiere,0.0,7.96,7.96,15:00,Cumplido
Jaén,Turno 1,06:00,09:02,14:15,Conductor FUR-TA-04,Ford E-Transit TA-04,4,Covirán Alcantarilla | Covirán La Guardia | Covirán Pegalajar | Covirán Mancha Real | Covirán Albanchez,5,1200,1200,100.0 %,80.29,NO,No requiere,0.0,14.45,14.45,14:00,Cumplido
Jaén,Turno 1,06:00,08:20,14:15,Conductor FUR-TA-05,Ford E-Transit TA-05,5,Covirán T.campo Fte. | Covirán T.campo Est. | Covirán T.campo Const. | Covirán Villargordo,4,1110,1200,92.5 %,60.27,NO,No requiere,0.0,10.85,10.85,14:00,Cumplido
Jaén,Turno 1,06:00,08:55,14:15,Conductor FUR-TA-06,Ford E-Transit TA-06,6,Covirán Torredonjimeno | Covirán Martos | Covirán Alcaudete Pil.,3,1145,1200,95.4 %,98.08,NO,No requiere,0.0,17.66,17.66,18:00,Cumplido
Jaén,Turno 1,06:00,09:48,14:15,Conductor FUR-TA-07,Ford E-Transit TA-07,7,Covirán Torres | Covirán Bélmez | Covirán Jódar Mayo | Covirán Huelma And.,4,1180,1200,98.3 %,126.55,NO,No requiere,0.0,22.78,22.78,14:00,Cumplido
Jaén,Turno 1,06:00,09:50,14:15,Conductor FUR-TA-08,Ford E-Transit TA-08,8,Covirán Valdepeñas | Covirán Campillo Ar. | Covirán Campillo Ar. | Covirán Noalejo | Covirán Arbuniel,5,1160,1200,96.7 %,116.4,NO,No requiere,0.0,20.95,20.95,14:00,Cumplido
Jaén,Turno 1,06:00,12:42,14:15,Conductor FUR-TA-09,Ford E-Transit TA-09,9,Covirán T.blascopedro | Covirán Linares Blas. | Covirán Linares Mayo | Covirán Fte Tójar N13,4,1145,1200,95.4 %,204.52,SÍ,Carrefour Linares (2 pts) (Av. Ciudad Linares),25.7,36.81,62.51,14:30,Cumplido
Jaén,Turno 1,06:00,11:22,14:15,Conductor FUR-TA-10,Ford E-Transit TA-10,10,Covirán Carchelejo | Covirán Huelma Conv. | Covirán Montejícar | Covirán Montejícar | Covirán Fte Tójar N0,5,1155,1200,96.2 %,185.78,NO,No requiere,0.0,33.44,33.44,14:00,Cumplido
Jaén,Turno 1,06:00,09:23,14:15,Conductor FUR-TA-11,Ford E-Transit TA-11,11,Covirán Noalejo | Covirán Guadahortuna | Covirán Guadahortuna,3,975,1200,81.2 %,118.57,NO,No requiere,0.0,21.34,21.34,14:00,Cumplido
Jaén,Turno 1,06:00,09:42,14:15,Conductor FUR-TA-12,Ford E-Transit TA-12,12,Covirán Alcaudete And. | Covirán La Rábita | Covirán Albendín,3,940,1200,78.3 %,133.16,NO,No requiere,0.0,23.97,23.97,19:00,Cumplido
Casabermeja,Turno 1,06:00,08:52,14:15,Conductor FUR-TA-01,Ford E-Transit TA-01,1,Covirán V. Concepción | Covirán Colmenar I. | Covirán Colmenar G. | Covirán Colmenar P. | Covirán Riogordo | Covirán Comares,6,1120,1200,93.3 %,62.18,NO,No requiere,0.0,11.19,11.19,14:30,Cumplido
Casabermeja,Turno 1,06:00,09:04,14:15,Conductor FUR-TA-02,Ford E-Transit TA-02,2,Covirán V. Rosario | Covirán Alfarnate | Covirán Periana | Covirán Zafarraya L. | Covirán Zafarraya P.,5,1140,1200,95.0 %,82.49,NO,No requiere,0.0,14.85,14.85,14:30,Cumplido
Casabermeja,Turno 1,06:00,09:05,14:15,Conductor FUR-TA-03,Ford E-Transit TA-03,3,Covirán Puerto Torre | Covirán Manos Unidas | Covirán Deva | Covirán Plutarco | Covirán Plaza Ronda | Covirán Totalán,6,1185,1200,98.8 %,71.31,NO,No requiere,0.0,12.84,12.84,18:00,Cumplido
Casabermeja,Turno 1,06:00,09:30,14:15,Conductor FUR-TA-04,Ford E-Transit TA-04,4,Covirán Aurora Alborn. | Covirán Isola | Covirán Reding | Covirán Villafuerte | Covirán Av. Aurora | Covirán Unión | Covirán Benagalbón A,7,1195,1200,99.6 %,79.37,NO,No requiere,0.0,14.29,14.29,14:00,Cumplido
Casabermeja,Turno 1,06:00,08:40,14:15,Conductor FUR-TA-05,Ford E-Transit TA-05,5,Covirán Antequera B. | Covirán Antequera C. | Covirán Antequera Fte. | Covirán Abdalajís,4,1160,1200,96.7 %,75.16,NO,No requiere,0.0,13.53,13.53,14:00,Cumplido
Casabermeja,Turno 1,06:00,08:29,14:15,Conductor FUR-TA-06,Ford E-Transit TA-06,6,Covirán San Isidro | Covirán Lugo | Covirán Héroe Sostoa | Covirán Cura Merino | Covirán Dr. Millán,5,1140,1200,95.0 %,56.05,NO,No requiere,0.0,10.09,10.09,15:00,Cumplido
Casabermeja,Turno 1,06:00,08:29,14:15,Conductor FUR-TA-07,Ford E-Transit TA-07,7,Covirán Ortega Gasset | Covirán Punta Alta | Covirán Torremolinos M.,3,1180,1200,98.3 %,78.41,NO,No requiere,0.0,14.11,14.11,19:00,Cumplido
Casabermeja,Turno 1,06:00,09:37,14:15,Conductor FUR-TA-08,Ford E-Transit TA-08,8,Covirán Almáchar | Covirán Triana | Covirán Borge | Covirán Benamocarra | Covirán Iznate | Covirán Benamargosa | Covirán Los Romanes,7,1140,1200,95.0 %,84.37,NO,No requiere,0.0,15.19,15.19,14:30,Cumplido
Casabermeja,Turno 1,06:00,09:25,14:15,Conductor FUR-TA-09,Ford E-Transit TA-09,9,Covirán Rusia | Covirán Churriana | Covirán Torremolinos | Covirán Torremolinos C. | Covirán Cártama B.,5,1200,1200,100.0 %,97.58,NO,No requiere,0.0,17.56,17.56,14:00,Cumplido
Casabermeja,Turno 1,06:00,10:11,14:15,Conductor FUR-TA-10,Ford E-Transit TA-10,10,Covirán Campanillas | Covirán Estación | Covirán Cártama O. | Covirán Alhaurín Ceuta | Covirán Carratraca,5,1175,1200,97.9 %,132.17,NO,No requiere,0.0,23.79,23.79,14:30,Cumplido
Casabermeja,Turno 1,06:00,09:37,14:15,Conductor FUR-TA-11,Ford E-Transit TA-11,11,Covirán Archidona | Covirán Fte. Camacho | Covirán Ventorros | Covirán Loja Rafael,4,1120,1200,93.3 %,118.05,NO,No requiere,0.0,21.25,21.25,15:00,Cumplido
Casabermeja,Turno 1,06:00,09:25,14:15,Conductor FUR-TA-12,Ford E-Transit TA-12,12,Covirán Cala Moral | Covirán Benagalbón C | Covirán Almayate | Covirán Acequia | Covirán Torre Mar L.,5,1200,1200,100.0 %,98.08,NO,No requiere,0.0,17.65,17.65,14:30,Cumplido
Casabermeja,Turno 1,06:00,10:39,14:15,Conductor FUR-TA-13,Ford E-Transit TA-13,13,Covirán Álora Carm. | Covirán Álora Cerv. | Covirán Pizarra Const. | Covirán Pizarra Cer. | Covirán El Almendral,5,1200,1200,100.0 %,153.06,NO,No requiere,0.0,27.55,27.55,14:00,Cumplido
Casabermeja,Turno 1,06:00,10:28,14:15,Conductor FUR-TA-14,Ford E-Transit TA-14,14,Covirán Zafarraya M. | Covirán Ventas Zaf. | Covirán Alcaucín | Covirán Arenas | Covirán Corumbela | Covirán Cómpeta | Covirán Sayalonga,7,1130,1200,94.2 %,122.87,NO,No requiere,0.0,22.12,22.12,14:00,Cumplido
Casabermeja,Turno 1,06:00,09:47,14:15,Conductor FUR-TA-15,Ford E-Transit TA-15,15,Covirán Alhaurín T. | Covirán Alhaurín Med. | Covirán Arroyo Miel | Covirán Zalea,4,1180,1200,98.3 %,125.59,NO,No requiere,0.0,22.61,22.61,18:00,Cumplido
Casabermeja,Turno 1,06:00,08:31,14:15,Conductor FUR-TA-16,Ford E-Transit TA-16,16,Covirán Vélez V. Mál. | Covirán Vélez Reginfo | Covirán Vélez P.I.,3,1135,1200,94.6 %,80.17,NO,No requiere,0.0,14.43,14.43,15:00,Cumplido
Casabermeja,Turno 1,06:00,09:30,14:15,Conductor FUR-TA-17,Ford E-Transit TA-17,17,Covirán Vélez Montera | Covirán Vélez Huerta | Covirán Torre Mar C. | Covirán Caleta V. | Covirán Algarrobo R.,5,1195,1200,99.6 %,101.82,NO,No requiere,0.0,18.33,18.33,14:30,Cumplido
Casabermeja,Turno 1,06:00,09:29,14:15,Conductor FUR-TA-18,Ford E-Transit TA-18,18,Covirán Benalmádena A. | Covirán Fuengirola P. | Covirán Fuengirola B. | Covirán Mijas Ch.,4,1185,1200,98.8 %,111.79,NO,No requiere,0.0,20.12,20.12,20:00,Cumplido
Casabermeja,Turno 1,06:00,09:39,14:15,Conductor FUR-TA-19,Ford E-Transit TA-19,19,Covirán Alhaurín G. | Covirán Alhaurín F. | Covirán Alhaurín C. | Covirán Fuengirola B.M.,4,1175,1200,97.9 %,119.54,NO,No requiere,0.0,21.52,21.52,18:00,Cumplido
